web-scraper-order,web-scraper-start-url,property_type,property_type-href,property_name,prices,categories,commission,bedrooms,bathrooms,garage,amenities,address,area
1606918781-2456,https://meqasa.com/houses-for-rent-in-ghana?w=358,Read more,"https://meqasa.com/apartment-for-rent-at-WEST-TRASSACCO--(REG=GHC50,-SERVICE-CHARGE=10)-146162?y=1509881459","2 bedroom apartment for rent at WEST TRASSACCO  (REG=GHC50, SERVICE CHARGE=10%)","GH₵ 1,500","Apartment for Rent

Apartment for Rent in WEST TRASSACCO",10.00%,2,2,0,"Garden
Swimming pool",WEST TRASSACCO ,"1,200 m2"
1606914534-2117,https://meqasa.com/houses-for-rent-in-ghana?w=379,Read more,https://meqasa.com/apartment-for-rent-at-null-Road-016150?y=1920454615,3 bedroom apartment for rent at null Road,"GH₵ 27,195","Apartment for Rent

Apartment for Rent in West null",10.00%,3,3,0,"Air conditioning
Washing machine
Refrigerator
Cooker
Internet
Garage
Annexe (Boys' quarters)
Water reservoir
Generator",null Road,null
1606913786-2026,https://meqasa.com/houses-for-rent-in-ghana?w=385,Read more,https://meqasa.com/house-for-rent-at-null-Road-076119?y=1312970009,4 bedroom house for rent at null Road,"GH₵ 27,195","House for Rent

House for Rent in East null",10.00%,4,4,7,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",null Road,"3,000 m2"
1606917834-2392,https://meqasa.com/houses-for-rent-in-ghana?w=362,Read more,https://meqasa.com/apartment-for-rent-at-Ashaley-Botwe-136249?y=1033437940,2 bedroom apartment for rent at Ashaley Botwe,"GH₵ 8,090","Apartment for Rent

Apartment for Rent in Ashaley Botwe",null,2,3,0,"Air conditioning
Washing machine
Fans",Ashaley Botwe,null
1606911859-1819,https://meqasa.com/houses-for-rent-in-ghana?w=398,Read more,https://meqasa.com/apartment-for-rent-at-karem-gardens-lane-065106?y=272170391,3 bedroom apartment for rent at karem gardens lane,"GH₵ 16,317","Apartment for Rent

Apartment for Rent in null Residential",10.00%,3,4,3,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",karem gardens lane,700 m2
1606912916-1938,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/house-for-rent-at-East-Legon-Hills-119679?y=1488013365,3 bedroom house for rent at East Legon Hills,"GH₵ 4,700","House for Rent

House for Rent in East Legon Hills",10.00%,3,2,4,"Air conditioning
Fans
Internet
Dstv
Garden
Roof terrace
Security service
Water reservoir",East Legon Hills,700 m2
1606913696-2018,https://meqasa.com/houses-for-rent-in-ghana?w=386,Read more,https://meqasa.com/townhouse-for-rent-at-Labone-076864?y=1151976411,4 bedroom townhouse for rent at Labone,"GH₵ 26,107","Townhouse for Rent

Townhouse for Rent in Labone",10.00%,4,5,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Labone,"4,000 m2"
1606917030-2329,https://meqasa.com/houses-for-rent-in-ghana?w=366,Read more,https://meqasa.com/house-for-rent-at-East-Legon-American-House-145825?y=627162307,5 bedroom house for rent at East Legon American House,"GH₵ 17,400","House for Rent

House for Rent in East Legon American House",10.00%,5,2,0,Swimming pool,East Legon American House,null
1606919960-2524,https://meqasa.com/houses-for-rent-in-ghana?w=347,Read more,https://meqasa.com/apartment-for-rent-at-Adenta-146620?y=487352773,2 bedroom apartment for rent at Adenta,"GH₵ 1,400","Apartment for Rent

Apartment for Rent in Adenta",10.00%,2,2,0,"Fans
Garden
Security service
Water reservoir",Adenta,null
1606914916-2160,https://meqasa.com/houses-for-rent-in-ghana?w=377,Read more,https://meqasa.com/apartment-for-rent-at-West-Legon-121392?y=445683576,3 bedroom apartment for rent at West Legon,"GH₵ 4,000","Apartment for Rent

Apartment for Rent in West Legon",10.00%,3,3,3,"Air conditioning
Cooker
Washing machine
Fans
Internet
Dstv
Garden
Roof terrace
Security service
Generator
Water reservoir",West Legon,"1,200 m2"
1606915361-2199,https://meqasa.com/houses-for-rent-in-ghana?w=374,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-106831?y=214171426,5 bedroom apartment for rent at Cantonments,"GH₵ 32,633","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,5,3,1,"Air conditioning
Washing machine
Refrigerator
Microwave
Internet
Dstv
Garage
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir",Cantonments,null
1606913757-2021,https://meqasa.com/houses-for-rent-in-ghana?w=385,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-076857?y=1312970009,4 bedroom townhouse for rent at Cantonments,"GH₵ 32,633","Townhouse for Rent

Townhouse for Rent in Cantonments",10.00%,4,5,5,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,"4,000 m2"
1606914971-2165,https://meqasa.com/houses-for-rent-in-ghana?w=376,Read more,https://meqasa.com/house-for-rent-at-east-legon-090451?y=2004224722,5 bedroom house for rent at east legon,"GH₵ 19,036","House for Rent

House for Rent in east legon",10.00%,5,5,7,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",east legon,"1,500 m2"
1606917965-2403,https://meqasa.com/houses-for-rent-in-ghana?w=362,Read more,https://meqasa.com/apartment-for-rent-at-East-null-105208?y=1033437940,1 bedroom furnished apartment for rent at East null,"GH₵ 7,150","Apartment for Rent

Apartment for Rent in East null",1 month's rent,1,1,1,"Air conditioning
Cooker
Washing machine
Refrigerator
Garden
Annexe (Boys' quarters)
Swimming pool
Security service
Generator
Water reservoir
Microwave
Internet
Dstv",East null,null
1606918094-2412,https://meqasa.com/houses-for-rent-in-ghana?w=361,Read more,https://meqasa.com/apartment-for-rent-at-3-115602?y=1181868603,3 bedroom furnished apartment for rent at 3,"GH₵ 16,500","Apartment for Rent

Apartment for Rent in 3",1 month's rent,3,3,2,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Internet
Dstv
Swimming pool
Security service
Generator
Water reservoir",East Legon,null
1606912092-1855,https://meqasa.com/houses-for-rent-in-ghana?w=396,Read more,"https://meqasa.com/house-for-rent-at-Cantonments,-au-village..mad-dorothy-064958?y=1766754622","4 bedroom house for rent at Cantonments, au village..mad dorothy","GH₵ 24,475","House for Rent

House for Rent in Cantonments",10.00%,4,5,5,"Air conditioning
Internet
Garage
Security service
Water reservoir",Cantonments,null
1606914288-2096,https://meqasa.com/houses-for-rent-in-ghana?w=381,Read more,https://meqasa.com/apartment-for-rent-at-Ridge-Road-020156?y=236968613,3 bedroom apartment for rent at Ridge Road,"GH₵ 21,756","Apartment for Rent

Apartment for Rent in Roman Ridge",10.00%,3,3,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Cooker
Internet
Garden
Garage
Water reservoir
Generator",Ridge Road,null
1606912696-1912,https://meqasa.com/houses-for-rent-in-ghana?w=392,Read more,https://meqasa.com/house-for-rent-at-East-null-132920?y=842130138,3 bedroom house for rent at East null,"GH₵ 7,000","House for Rent

House for Rent in East null",10.00%,3,3,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Security service
Generator
Water reservoir",East null,600 m2
1606912527-1895,https://meqasa.com/houses-for-rent-in-ghana?w=393,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-026986?y=577881206,3 bedroom apartment for rent at Cantonments,"GH₵ 19,036","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,3,3,0,"Air conditioning
Cooker
Washing machine
Garage
Swimming pool
Security service
Water reservoir",Cantonments,null
1606912888-1932,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/house-for-rent-at-Dzorwulu--128394?y=1488013365,4 bedroom house for rent at Dzorwulu,"GH₵ 14,000","House for Rent

House for Rent in Dzorwulu",10.00%,4,4,7,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",Dzorwulu,"1,500 m2"
1606918558-2441,https://meqasa.com/houses-for-rent-in-ghana?w=359,Read more,https://meqasa.com/house-for-rent-at-null-Hills-120287?y=2069510566,4 bedroom house for rent at null Hills,"GH₵ 32,633","House for Rent

House for Rent in null Hills",10.00%,4,4,2,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",null Hills,1 m2
1606916444-2286,https://meqasa.com/houses-for-rent-in-ghana?w=369,Read more,https://meqasa.com/apartment-for-rent-at-Cantonments-107581?y=1102604498,2 bedroom furnished apartment for rent at Cantonments,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,2,3,100,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,250 m2
1606915551-2214,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,https://meqasa.com/apartment-for-rent-at-off-fredy-blay-high-ways-064846?y=766596786,3 bedroom apartment for rent at off fredy blay high ways,"GH₵ 3,807","Apartment for Rent

Apartment for Rent in East Legon",10.00%,3,3,2,"Air conditioning
Washing machine
Fans
Refrigerator
Internet
Dstv
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",Accra,null
1606916259-2275,https://meqasa.com/houses-for-rent-in-ghana?w=370,Read more,https://meqasa.com/apartment-for-rent-at-Haatso-070221?y=2040822663,3 bedroom apartment for rent at Haatso,"GH₵ 2,000","Apartment for Rent

Apartment for Rent in Haatso",10.00%,3,2,10,"Air conditioning
Fans
Security service
Water reservoir
Garden
Garage",Haatso,18 m2
1606914737-2138,https://meqasa.com/houses-for-rent-in-ghana?w=378,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-002046?y=1973495269,3 bedroom apartment for rent at null Area,"GH₵ 23,387","Apartment for Rent

Apartment for Rent in null Area",10.00%,3,3,,Water reservoir,null Area,null
1606914866-2152,https://meqasa.com/houses-for-rent-in-ghana?w=377,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-000632?y=445683576,3 bedroom furnished apartment for rent at null Area,"GH₵ 24,475","Apartment for Rent

Apartment for Rent in null Area",10.00%,3,3,1,"Air conditioning
Balcony
Bedding
Closets
Desk
Dstv
Fans
Garage
Garden
Generator
Internet
Kitchen
Kitchen cabinets
Oven
Pets allowed
Refrigerator
Roof terrace
Annexe (Boys' quarters)
Sofas
Smoking allowed
Swimming pool
Water reservoir",null Area,null
1606917530-2369,https://meqasa.com/houses-for-rent-in-ghana?w=364,Read more,https://meqasa.com/house-for-rent-at-Tema-Community-25-in-TDC-Estate-023909?y=1566037273,6 bedroom house for rent at Tema Community 25 in TDC Estate,"GH₵ 5,439","House for Rent

House for Rent in Community 25",10.00%,6,5,0,"Air conditioning
Garden
Annexe (Boys' quarters)
Water reservoir
Fans",Tema,null
1606913701-2019,https://meqasa.com/houses-for-rent-in-ghana?w=386,Read more,https://meqasa.com/townhouse-for-rent-at-Cantonments-076860?y=1151976411,5 bedroom furnished townhouse for rent at Cantonments,"GH₵ 38,072","Townhouse for Rent

Townhouse for Rent in Cantonments",10.00%,5,6,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Cantonments,"4,300 m2"
1606912405-1884,https://meqasa.com/houses-for-rent-in-ghana?w=394,Read more,"https://meqasa.com/house-for-rent-at-Cantonment,-off-the-GIS-street-064641?y=1180150498","6 bedroom house for rent at Cantonment, off the GIS street","GH₵ 15,000","House for Rent

House for Rent in Cantonment",10.00%,6,7,6,"Air conditioning
Internet
Dstv
Garden
Garage
Security service
Water reservoir",Cantonment,"1,000 m2"
1606916569-2293,https://meqasa.com/houses-for-rent-in-ghana?w=368,Read more,https://meqasa.com/house-for-rent-at-null-Area-087375?y=1281855160,4 bedroom house for rent at null Area,"GH₵ 32,633","House for Rent

House for Rent in null Area",1 month's rent,4,5,5,"Air conditioning
Cooker
Fans
Garden
Garage
Swimming pool
Water reservoir",null Area,"null

null in null Area"
1606915775-2234,https://meqasa.com/houses-for-rent-in-ghana?w=372,Read more,https://meqasa.com/house-for-rent-at-Cantonments-001929?y=1021748157,4 bedroom furnished house for rent at Cantonments,"GH₵ 39,160","House for Rent

House for Rent in Cantonments",10.00%,4,3,1,"Air conditioning
Kitchen cabinets
Closets
Cooker
Refrigerator
Garage
Internet
Kitchen
Microwave
Swimming pool",Cantonments,null
1606918773-2455,https://meqasa.com/houses-for-rent-in-ghana?w=358,Read more,https://meqasa.com/house-for-rent-at-Adjiriganor-East-Legon--146149?y=1509881459,3 bedroom house for rent at Adjiriganor East Legon,"GH₵ 4,351","House for Rent

House for Rent in Adjiriganor East Legon",10.00%,3,4,1,"Air conditioning
Cooker
Fans
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Water reservoir",Adjiriganor East Legon,400 m2
1606921356-2581,https://meqasa.com/houses-for-rent-in-ghana?w=343,Read more,https://meqasa.com/apartment-for-rent-at-null-Residential-Area-136235?y=872456723,2 bedroom apartment for rent at null Residential Area,"GH₵ 11,558","Apartment for Rent

Apartment for Rent in null Residential Area",null,2,1,0,"Air conditioning
Cooker
Washing machine
Refrigerator
Microwave
Dstv",Residential Area,null
1606916374-2282,https://meqasa.com/houses-for-rent-in-ghana?w=369,Read more,https://meqasa.com/house-for-rent-at-Paraku-Estate--141317?y=1102604498,3 bedroom house for rent at Paraku Estate,"GH₵ 2,500","House for Rent

House for Rent in Paraku Estate",10.00%,3,2,5,"Fans
Garden
Garage
Water reservoir",Paraku Estate,150 m2
1606917670-2379,https://meqasa.com/houses-for-rent-in-ghana?w=363,Read more,https://meqasa.com/house-for-rent-at-East-Legon-140433?y=1427077544,5 bedroom house for rent at East Legon,"GH₵ 15,000","House for Rent

House for Rent in East Legon",null,5,6,0,"Air conditioning
Annexe (Boys' quarters)
Security service",East Legon,null
1606917239-2346,https://meqasa.com/houses-for-rent-in-ghana?w=365,Read more,"https://meqasa.com/apartment-for-rent-at-Spintex,-Greater-Accra-145892?y=487004385","2 bedroom apartment for rent at Spintex, Greater Accra","GH₵ 2,176","Apartment for Rent

Apartment for Rent in Spintex",10.00%,2,3,0,Water reservoir,"Spintex, Greater Accra",null
1606915478-2211,https://meqasa.com/houses-for-rent-in-ghana?w=374,Read more,https://meqasa.com/house-for-rent-at-potofi-lane-065027?y=214171426,4 bedroom house for rent at potofi lane,"GH₵ 8,158","House for Rent

House for Rent in West Legon",10.00%,4,4,7,Air Conditioning,potofi lane,null
1606915601-2218,https://meqasa.com/houses-for-rent-in-ghana?w=373,Read more,https://meqasa.com/house-for-rent-at-null-City-016936?y=766596786,4 bedroom house for rent at null City,"GH₵ 32,633","House for Rent

House for Rent in null City",10.00%,4,4,0,"Air conditioning
Microwave
Washing machine
Refrigerator
Fans
Cooker
Garden
Garage
Water reservoir",null City,null
1606912011-1843,https://meqasa.com/houses-for-rent-in-ghana?w=397,Read more,"https://meqasa.com/apartment-for-rent-at-Cantonments,-Off-American-Embassy-065032?y=1277734873","3 bedroom apartment for rent at Cantonments, Off American Embassy","GH₵ 19,036","Apartment for Rent

Apartment for Rent in Cantonments",10.00%,3,3,3,"Air conditioning
Refrigerator
Microwave
Internet
Dstv
Garage
Security service
Generator
Water reservoir",Cantonments,60 m2
1606912006-1841,https://meqasa.com/houses-for-rent-in-ghana?w=397,Read more,"https://meqasa.com/house-for-rent-at-Cantoments,-Bentley-Close-065034?y=1277734873","4 bedroom house for rent at Cantoments, Bentley Close","GH₵ 32,633","House for Rent

House for Rent in Cantoments",10.00%,4,5,3,"Air conditioning
Internet
Dstv
Garage
Security service
Water reservoir",Cantoments,"1,000 m2"
1606920740-2567,https://meqasa.com/houses-for-rent-in-ghana?w=344,Read more,"https://meqasa.com/apartment-for-rent-at-Bush-Road,-near-Tse-Addo,-Greater-Accra-146714?y=77328849","3 bedroom apartment for rent at Bush Road, near Tse Addo, Greater Accra","GH₵ 2,800","Apartment for Rent

Apartment for Rent in Bush Road",10.00%,3,3,0,Air Conditioning,Tse Addo,null
1606915448-2208,https://meqasa.com/houses-for-rent-in-ghana?w=374,Read more,"https://meqasa.com/house-for-rent-at-Cantonments,-off-vice-president-lane-au-065127?y=214171426","3 bedroom house for rent at Cantonments, off vice president lane-au","GH₵ 27,195","House for Rent

House for Rent in Cantonments",10.00%,3,3,5,"Air conditioning
Internet
Garage
Security service
Water reservoir",Cantonments,"1,000 m2"
1606911608-1785,https://meqasa.com/houses-for-rent-in-ghana?w=400,Read more,https://meqasa.com/house-for-rent-at-null-Road-070676?y=2059465780,4 bedroom house for rent at null Road,"GH₵ 27,195","House for Rent

House for Rent in East null",10.00%,4,4,4,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",null Road,800 m2
1606917483-2365,https://meqasa.com/houses-for-rent-in-ghana?w=364,Read more,https://meqasa.com/house-for-rent-at-null-Area-107536?y=1566037273,4 bedroom house for rent at null Area,"GH₵ 35,750","House for Rent

House for Rent in null Area",1 month's rent,4,4,0,"Garden
Garage
Annexe (Boys' quarters)
Generator
Water reservoir",null Area,"null

null in null Area"
1606915464-2210,https://meqasa.com/houses-for-rent-in-ghana?w=374,Read more,https://meqasa.com/apartment-for-rent-at-Off-69-Road-065035?y=214171426,1 bedroom apartment for rent at Off 69 Road,"GH₵ 2,719","Apartment for Rent

Apartment for Rent in East Legon",10.00%,1,1,2,Air Conditioning,Off ,40 m2
1606911820-1812,https://meqasa.com/houses-for-rent-in-ghana?w=398,Read more,https://meqasa.com/house-for-rent-at-Abelemkpe-067844?y=272170391,6 bedroom house for rent at Abelemkpe,"GH₵ 35,353","House for Rent

House for Rent in Abelemkpe",10.00%,6,6,3,"Air conditioning
Cooker
Washing machine
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",Abelemkpe,900 m2
1606914160-2080,https://meqasa.com/houses-for-rent-in-ghana?w=382,Read more,"https://meqasa.com/house-for-rent-at-Regimanuel-Grey-Estates,-Sakumuno-027281?y=1096053329","4 bedroom house for rent at Regimanuel Grey Estates, Sakumuno","GH₵ 8,267","House for Rent

House for Rent in Sakumono",10.00%,4,4,0,"Air conditioning
Cooker
Garden
Garage",Sakumuno,null
1606913960-2052,https://meqasa.com/houses-for-rent-in-ghana?w=383,Read more,https://meqasa.com/house-for-rent-at-null-Hills-068972?y=2114431657,4 bedroom house for rent at null Hills,"GH₵ 24,475","House for Rent

House for Rent in null Hills",10.00%,4,5,3,"Air conditioning
Cooker
Washing machine
Fans
Refrigerator
Microwave
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Swimming pool
Security service
Generator
Water reservoir",null Hills,800 m2
1606918980-2470,https://meqasa.com/houses-for-rent-in-ghana?w=357,Read more,https://meqasa.com/apartment-for-rent-at-Haatso---Agbogba---Old-Ashongman-North-Legon-144102?y=169486122,1 bedroom apartment for rent at Haatso - Agbogba - Old Ashongman North Legon,GH₵ 700,"Apartment for Rent

Apartment for Rent in Haatso - Agbogba - Old Ashongman North L",10.00%,1,1,0,"Fans
Security service
Water reservoir",Haatso - Agbogba ,null
1606913826-2033,https://meqasa.com/houses-for-rent-in-ghana?w=385,Read more,https://meqasa.com/townhouse-for-rent-at-North-Legon-075832?y=1312970009,4 bedroom townhouse for rent at North Legon,"GH₵ 4,000","Townhouse for Rent

Townhouse for Rent in North Legon",10.00%,4,5,4,"Air conditioning
Fans
Internet
Dstv
Garage
Roof terrace
Security service
Water reservoir",North Legon,"2,000 m2"
1606913279-1974,https://meqasa.com/houses-for-rent-in-ghana?w=388,Read more,https://meqasa.com/house-for-rent-at-East-Legon-012028?y=1132655405,4 bedroom furnished house for rent at East Legon,"GH₵ 7,614","House for Rent

House for Rent in East Legon",10.00%,4,3,0,"Air conditioning
Microwave
Fans
Cooker
Dstv
Water reservoir",East Legon,null
1606912908-1936,https://meqasa.com/houses-for-rent-in-ghana?w=391,Read more,https://meqasa.com/house-for-rent-at-West-Legon-122959?y=1488013365,2 bedroom house for rent at West Legon,"GH₵ 4,000","House for Rent

House for Rent in West Legon",10.00%,2,3,10,"Air conditioning
Fans
Internet
Dstv
Garden
Garage
Annexe (Boys' quarters)
Roof terrace
Security service
Generator
Water reservoir",West Legon,600 m2
1606911947-1830,https://meqasa.com/houses-for-rent-in-ghana?w=397,Read more,https://meqasa.com/apartment-for-rent-at-maxwell-apt-close-065082?y=1277734873,1 bedroom apartment for rent at maxwell apt close,"GH₵ 9,790","Apartment for Rent

Apartment for Rent in Osu",10.00%,1,2,3,Air Conditioning,apt close,40 m2
1606915836-2243,https://meqasa.com/houses-for-rent-in-ghana?w=372,Read more,https://meqasa.com/apartment-for-rent-at-null-Area-001903?y=1021748157,3 bedroom furnished apartment for rent at null Area,"GH₵ 13,597","Apartment for Rent

Apartment for Rent in null Area",10.00%,3,2,,Air Conditioning,null Area,null
